date,equity,s1_qqq_tqqq,s2_spy_spxl,s3_gld,s1_state,s2_state
2000-01-03,100000.0,45000.0,45000.0,10000.0,cash,cash
2000-01-04,99787.36,45007.0,45007.0,9773.36,cash,cash
2000-01-05,99751.2,45014.01,45014.01,9723.18,cash,cash
2000-01-06,99773.17,45021.02,45021.02,9731.14,cash,cash
2000-01-07,99805.18,45028.02,45028.02,9749.13,cash,cash
2000-01-10,99809.86,45035.03,45035.03,9739.79,cash,cash
2000-01-11,99889.62,45042.04,45042.04,9805.54,cash,cash
2000-01-12,99872.5,45049.05,45049.05,9774.39,cash,cash
2000-01-13,99947.77,45056.06,45056.06,9835.64,cash,cash
2000-01-14,99953.14,45063.08,45063.08,9826.99,cash,cash
2000-01-18,100142.1,45077.11,45077.11,9987.89,cash,cash
2000-01-19,100186.24,45084.12,45084.12,10017.99,cash,cash
2000-01-20,100169.13,45091.14,45091.14,9986.85,cash,cash
2000-01-21,100199.78,45098.16,45098.16,10003.46,cash,cash
2000-01-24,100165.37,45105.18,45105.18,9955.02,cash,cash
2000-01-25,100115.4,45112.2,45112.2,9891.0,cash,cash
2000-01-26,100132.9,45119.22,45119.22,9894.46,cash,cash
2000-01-27,100179.82,45126.24,45126.24,9927.34,cash,cash
2000-01-28,100050.27,45133.27,45133.27,9783.74,cash,cash
2000-01-31,100080.93,45140.29,45140.29,9800.35,cash,cash
2000-02-01,100073.88,45147.32,45147.32,9779.24,cash,cash
2000-02-02,100166.13,45154.35,45154.35,9857.44,cash,cash
2000-02-03,100267.38,45161.37,45161.37,9944.64,cash,cash
2000-02-04,101243.38,45168.4,45168.4,10906.57,cash,cash
2000-02-07,100793.77,45175.43,45175.43,10442.91,cash,cash
2000-02-08,100710.95,45182.47,45182.47,10346.02,cash,cash
2000-02-09,100975.88,45189.5,45189.5,10596.89,cash,cash
2000-02-10,101360.19,45196.53,45196.53,10967.13,cash,cash
2000-02-11,101175.3,45203.57,45203.57,10768.17,cash,cash
2000-02-14,101078.64,45210.6,45210.6,10657.44,cash,cash
2000-02-15,100885.11,45217.64,45217.64,10449.83,cash,cash
2000-02-16,100916.48,45224.68,45224.68,10467.13,cash,cash
2000-02-17,100887.31,45231.72,45231.72,10423.88,cash,cash
2000-02-18,101024.23,45238.76,45238.76,10546.71,cash,cash
2000-02-22,101067.97,45252.84,45252.84,10562.28,cash,cash
2000-02-23,100903.85,45259.88,45259.88,10384.08,cash,cash
2000-02-24,100866.04,45266.93,45266.93,10332.18,cash,cash
2000-02-25,100672.52,45273.97,45273.97,10124.57,cash,cash
2000-02-28,100674.5,45281.02,45281.02,10112.46,cash,cash
2000-02-29,100684.1,45288.07,45288.07,10107.96,cash,cash
2000-03-01,100668.09,45295.12,45295.12,10077.85,cash,cash
2000-03-02,100576.66,45302.17,45302.17,9972.32,cash,cash
2000-03-03,100611.52,45309.22,45309.22,9993.08,cash,cash
2000-03-06,100594.48,45316.27,45316.27,9961.94,cash,cash
2000-03-07,100753.92,45323.33,45323.33,10107.27,cash,cash
2000-03-08,100646.92,45330.38,45330.38,9986.16,cash,cash
2000-03-09,100752.73,45337.44,45337.44,10077.85,cash,cash
2000-03-10,100688.99,45344.49,45344.49,10000.0,cash,cash
2000-03-13,100750.85,45351.55,45351.55,10047.75,cash,cash
2000-03-14,100713.07,45358.61,45358.61,9995.85,cash,cash
2000-03-15,100727.19,45365.67,45365.67,9995.85,cash,cash
2000-03-16,100658.96,45372.73,45372.73,9913.49,cash,cash
2000-03-17,100603.88,45379.79,45379.79,9844.29,cash,cash
2000-03-20,100665.76,45386.86,45386.86,9892.04,cash,cash
2000-03-21,100818.29,45393.92,45393.92,10030.45,cash,cash
2000-03-22,100767.37,45400.99,45400.99,9965.4,cash,cash
2000-03-23,100695.0,45408.05,45408.05,9878.89,cash,cash
2000-03-24,100688.37,45415.12,45415.12,9858.13,cash,cash
2000-03-27,100539.88,45422.19,45422.19,9695.5,cash,cash
2000-03-28,100524.61,45429.26,45429.26,9666.09,cash,cash
2000-03-29,100431.49,45436.33,45436.33,9558.82,cash,cash
2000-03-30,100454.28,45443.4,45443.4,9567.47,cash,cash
2000-03-31,100553.2,45450.48,45450.48,9652.25,cash,cash
2000-04-03,100539.67,45457.55,45457.55,9624.57,cash,cash
2000-04-04,100783.92,45464.63,45464.63,9854.67,cash,cash
2000-04-05,100683.89,45471.7,45471.7,9740.48,cash,cash
2000-04-06,100663.44,45478.78,45478.78,9705.88,cash,cash
2000-04-07,100667.22,45485.86,45485.86,9695.5,cash,cash
2000-04-10,100735.01,45492.94,45492.94,9749.13,cash,cash
2000-04-11,100744.68,45500.02,45500.02,9744.64,cash,cash
2000-04-12,100780.64,45507.1,45507.1,9766.44,cash,cash
2000-04-13,100779.24,45514.19,45514.19,9750.87,cash,cash
2000-04-14,100834.93,45521.27,45521.27,9792.39,cash,cash
2000-04-17,100793.04,45528.36,45528.36,9736.33,cash,cash
2000-04-18,100798.22,45535.44,45535.44,9727.34,cash,cash
2000-04-19,100800.28,45542.53,45542.53,9715.22,cash,cash
2000-04-20,100779.17,45549.62,45549.62,9679.93,cash,cash
2000-04-24,100809.26,45563.8,45563.8,9681.66,cash,cash
2000-04-25,100769.81,45570.89,45570.89,9628.03,cash,cash
2000-04-26,100694.03,45577.98,45577.98,9538.06,cash,cash
2000-04-27,100756.66,45585.08,45585.08,9586.51,cash,cash
2000-04-28,100648.01,45592.17,45592.17,9463.67,cash,cash
2000-05-01,100666.36,45599.27,45599.27,9467.82,cash,cash
2000-05-02,100754.26,45606.37,45606.37,9541.52,cash,cash
2000-05-03,100859.46,45613.47,45613.47,9632.53,cash,cash
2000-05-04,100933.86,45620.57,45620.57,9692.73,cash,cash
2000-05-05,100907.58,45627.67,45627.67,9652.25,cash,cash
2000-05-08,100841.16,45634.77,45634.77,9571.63,cash,cash
2000-05-09,100877.17,45641.87,45641.87,9593.43,cash,cash
2000-05-10,100908.68,45648.98,45648.98,9610.73,cash,cash
2000-05-11,100860.6,45656.08,45656.08,9548.44,cash,cash
2000-05-12,100881.74,45663.19,45663.19,9555.36,cash,cash
2000-05-15,100878.65,45670.29,45670.29,9538.06,cash,cash
2000-05-16,100889.41,45677.4,45677.4,9534.6,cash,cash
2000-05-17,100827.5,45684.51,45684.51,9458.48,cash,cash
2000-05-18,100841.72,45691.62,45691.62,9458.48,cash,cash
2000-05-19,100887.09,45698.74,45698.74,9489.62,cash,cash
2000-05-22,100953.22,45705.85,45705.85,9541.52,cash,cash
2000-05-23,100919.0,45712.96,45712.96,9493.08,cash,cash
2000-05-24,100905.55,45720.08,45720.08,9465.4,cash,cash
2000-05-25,100805.6,45727.19,45727.19,9351.21,cash,cash
2000-05-26,100882.12,45734.31,45734.31,9413.49,cash,cash
2000-05-30,100941.74,45748.55,45748.55,9444.64,cash,cash
2000-05-31,100928.3,45755.67,45755.67,9416.96,cash,cash
2000-06-01,100965.03,45762.79,45762.79,9439.45,cash,cash
2000-06-02,101276.16,45769.92,45769.92,9736.33,cash,cash
2000-06-05,101432.28,45777.04,45777.04,9878.2,cash,cash
2000-06-06,101578.71,45784.16,45784.16,10010.38,cash,cash
2000-06-07,101522.03,45791.29,45791.29,9939.45,cash,cash
2000-06-08,101439.4,45798.42,45798.42,9842.56,cash,cash
2000-06-09,101432.89,45805.55,45805.55,9821.8,cash,cash
2000-06-12,101547.5,45812.68,45812.68,9922.15,cash,cash
2000-06-13,101527.16,45819.81,45819.81,9887.54,cash,cash
2000-06-14,101749.03,45826.94,45826.94,10095.16,cash,cash
2000-06-15,101697.56,45834.07,45834.07,10029.41,cash,cash
2000-06-16,101691.06,45841.21,45841.21,10008.65,cash,cash
2000-06-19,101601.53,45848.34,45848.34,9904.84,cash,cash
2000-06-20,101614.07,45855.48,45855.48,9903.11,cash,cash
2000-06-21,101628.34,45862.61,45862.61,9903.11,cash,cash
2000-06-22,101623.59,45869.75,45869.75,9884.08,cash,cash
2000-06-23,101553.09,45876.89,45876.89,9799.31,cash,cash
2000-06-26,101595.06,45884.03,45884.03,9826.99,cash,cash
2000-06-27,101680.28,45891.18,45891.18,9897.92,cash,cash
2000-06-28,101928.13,45898.32,45898.32,10131.49,cash,cash
2000-06-29,101816.12,45905.46,45905.46,10005.19,cash,cash
2000-06-30,101863.28,45912.61,45912.61,10038.06,cash,cash
2000-07-03,101801.45,45919.75,45919.75,9961.94,cash,cash
2000-07-05,101700.28,45934.05,45934.05,9832.18,cash,cash
2000-07-06,101692.09,45941.2,45941.2,9809.69,cash,cash
2000-07-07,101711.58,45948.35,45948.35,9814.88,cash,cash
2000-07-10,101736.26,45955.5,45955.5,9825.26,cash,cash
2000-07-11,101700.4,45962.66,45962.66,9775.09,cash,cash
2000-07-12,101654.15,45969.81,45969.81,9714.53,cash,cash
2000-07-13,101651.16,45976.96,45976.96,9697.23,cash,cash
2000-07-14,101703.54,45984.12,45984.12,9735.29,cash,cash
2000-07-17,101793.98,45991.28,45991.28,9811.42,cash,cash
2000-07-18,101777.15,45998.44,45998.44,9780.28,cash,cash
2000-07-19,101670.36,46005.6,46005.6,9659.17,cash,cash
2000-07-20,101722.75,46012.76,46012.76,9697.23,cash,cash
2000-07-21,101740.53,46019.92,46019.92,9700.69,cash,cash
2000-07-24,101716.79,46027.08,46027.08,9662.63,cash,cash
2000-07-25,101727.66,46034.25,46034.25,9659.17,cash,cash
2000-07-26,101762.75,46041.41,46041.41,9679.93,cash,cash
2000-07-27,101733.83,46048.58,46048.58,9636.68,cash,cash
2000-07-28,101744.71,46055.75,46055.75,9633.22,cash,cash
2000-07-31,101719.25,46062.91,46062.91,9593.43,cash,cash
2000-08-01,101737.05,46070.08,46070.08,9596.89,cash,cash
2000-08-02,101758.31,46077.25,46077.25,9603.81,cash,cash
2000-08-03,101649.82,46084.43,46084.43,9480.97,cash,cash
2000-08-04,101638.22,46091.6,46091.6,9455.02,cash,cash
2000-08-07,101669.87,46098.77,46098.77,9472.32,cash,cash
2000-08-08,101666.91,46105.95,46105.95,9455.02,cash,cash
2000-08-09,101667.43,46113.12,46113.12,9441.18,cash,cash
2000-08-10,101678.32,46120.3,46120.3,9437.72,cash,cash
2000-08-11,101775.72,46127.48,46127.48,9520.76,cash,cash
2000-08-14,101776.24,46134.66,46134.66,9506.92,cash,cash
2000-08-15,101787.14,46141.84,46141.84,9503.46,cash,cash
2000-08-16,101889.74,46149.02,46149.02,9591.7,cash,cash
2000-08-17,101917.95,46156.21,46156.21,9605.54,cash,cash
2000-08-18,101899.45,46163.39,46163.39,9572.66,cash,cash
2000-08-21,101865.37,46170.58,46170.58,9524.22,cash,cash
2000-08-22,101827.84,46177.76,46177.76,9472.32,cash,cash
2000-08-23,101755.71,46184.95,46184.95,9385.81,cash,cash
2000-08-24,101828.91,46192.14,46192.14,9444.64,cash,cash
2000-08-25,101888.28,46199.33,46199.33,9489.62,cash,cash
2000-08-28,101897.47,46206.52,46206.52,9484.43,cash,cash
2000-08-29,101889.36,46213.71,46213.71,9461.94,cash,cash
2000-08-30,101931.43,46220.9,46220.9,9489.62,cash,cash
2000-08-31,102066.93,46228.1,46228.1,9610.73,cash,cash
2000-09-01,102050.17,46235.29,46235.29,9579.58,cash,cash
2000-09-05,102033.98,46249.69,46249.69,9534.6,cash,cash
2000-09-06,102010.31,46256.89,46256.89,9496.54,cash,cash
2000-09-07,102002.22,46264.09,46264.09,9474.05,cash,cash
2000-09-08,101990.67,46271.29,46271.29,9448.1,cash,cash
2000-09-11,102018.92,46278.49,46278.49,9461.94,cash,cash
2000-09-12,102019.48,46285.69,46285.69,9448.1,cash,cash
2000-09-13,102025.24,46292.9,46292.9,9439.45,cash,cash
2000-09-14,102027.54,46300.1,46300.1,9427.34,cash,cash
2000-09-15,102045.42,46307.31,46307.31,9430.8,cash,cash
2000-09-18,102033.88,46314.52,46314.52,9404.84,cash,cash
2000-09-19,102063.87,46321.73,46321.73,9420.42,cash,cash
2000-09-20,101981.4,46328.94,46328.94,9323.53,cash,cash
2000-09-21,102040.81,46336.15,46336.15,9368.51,cash,cash
