date,total_equity,eq_target,gld_target,QQQ->TQQQ_pre,QQQ->TQQQ_delta,SPY->SPXL_pre,SPY->SPXL_delta,GLD_pre,GLD_delta
2001-01-02,103033.97,46365.29,10303.4,46865.6,-500.31,46865.6,-500.31,9302.77,1000.63
2002-01-02,107261.61,48267.73,10726.16,48287.49,-19.76,48287.49,-19.76,10686.64,39.52
2003-01-02,103019.34,46358.7,10301.93,50197.25,-3838.55,39527.57,6831.13,13294.52,-2992.58
2004-01-02,164658.8,74096.46,16465.88,55919.01,18177.45,96366.27,-22269.8,12373.53,4092.35
2005-01-03,351984.4,158392.98,35198.44,89406.87,68986.11,85873.27,72519.71,176704.26,-141505.82
2006-01-03,363426.12,163541.75,36342.61,149714.4,13827.35,170249.58,-6707.83,43462.14,-7119.53
2007-01-03,380005.34,171002.4,38000.53,171471.03,-468.63,165924.78,5077.62,42609.52,-4608.99
2008-01-02,451542.9,203194.31,45154.29,241792.13,-38597.82,157972.91,45221.39,51777.86,-6623.57
2009-01-02,384927.77,173217.5,38492.78,171450.1,1767.39,167594.39,5623.1,45883.27,-7390.49
2010-01-04,565138.73,254312.43,56513.87,269666.21,-15353.78,246458.17,7854.26,49014.34,7499.53
2011-01-03,800257.89,360116.05,80025.79,358073.05,2043.0,371156.48,-11040.43,71028.37,8997.42
2012-01-03,798051.06,359122.98,79805.11,355582.34,3540.64,352051.18,7071.8,90417.54,-10612.44
2013-01-02,1062603.13,478171.41,106260.31,469717.25,8454.16,509369.98,-31198.57,83515.9,22744.41
2014-01-02,2062020.11,927909.05,206202.01,1041710.47,-113801.42,943465.14,-15556.09,76844.5,129357.51
2015-01-02,2883123.5,1297405.58,288312.35,1375588.8,-78183.22,1308182.79,-10777.22,199351.91,88960.44
2016-01-04,2626162.1,1181772.94,262616.21,1289605.45,-107832.51,1076524.59,105248.36,260032.06,2584.15
2017-01-03,3081474.75,1386663.64,308147.48,1149363.48,237300.16,1650147.89,-263484.25,281963.39,26184.09
2018-01-02,5820468.52,2619210.83,582046.85,3103849.6,-484638.76,2367522.73,251688.11,349096.19,232950.66
2019-01-02,5768798.88,2595959.5,576879.89,2916005.18,-320045.68,2288512.89,307446.61,564280.82,12599.07
2020-01-02,9250008.82,4162503.97,925000.88,5183421.39,-1020917.43,3382157.68,780346.28,684429.74,240571.14
2021-01-04,13281299.73,5976584.88,1328129.97,6005933.66,-29348.78,6103741.13,-127156.25,1171624.94,156505.03
2022-01-03,21639861.32,9737937.6,2163986.13,7798772.52,1939165.08,12614937.77,-2877000.17,1226151.04,937835.1
2023-01-03,16809081.91,7564086.86,1680908.19,6458766.5,1105320.36,8151233.45,-587146.59,2199081.97,-518173.78
2024-01-02,26906220.53,12107799.24,2690622.05,16215356.41,-4107557.18,8816768.42,3291030.82,1874095.7,816526.35
2025-01-02,41572083.31,18707437.49,4157208.33,21370198.81,-2662761.32,16739570.82,1967866.67,3462313.68,694894.65
2026-01-02,61560773.2,27702347.94,6156077.32,27029299.51,673048.43,27784945.56,-82597.62,6746528.13,-590450.81
