date,equity,QQQ->TQQQ_eq,QQQ->TQQQ_state,XLE->XLE_eq,XLE->XLE_state,XLV->XLV_eq,XLV->XLV_state,safety_gld,vix,vix_sma
2000-01-03,100000.0,71250.0,cash,13300.0,cash,10450.0,cash,5000.0,24.21,
2000-01-04,99901.46,71261.09,cash,13302.07,cash,10451.63,cash,4886.68,27.01,
2000-01-05,99891.17,71272.18,cash,13304.14,cash,10453.25,cash,4861.59,26.41,
2000-01-06,99909.94,71283.28,cash,13306.21,cash,10454.88,cash,4865.57,25.73,
2000-01-07,99933.73,71294.37,cash,13308.28,cash,10456.51,cash,4874.57,21.72,
2000-01-10,99943.85,71305.47,cash,13310.35,cash,10458.14,cash,4869.9,21.71,
2000-01-11,99991.52,71316.57,cash,13312.43,cash,10459.76,cash,4902.77,22.5,
2000-01-12,99990.75,71327.67,cash,13314.5,cash,10461.39,cash,4887.2,22.84,
2000-01-13,100036.18,71338.77,cash,13316.57,cash,10463.02,cash,4917.82,21.71,
2000-01-14,100046.66,71349.87,cash,13318.64,cash,10464.65,cash,4913.49,19.66,
2000-01-18,100156.73,71372.09,cash,13322.79,cash,10467.91,cash,4993.94,21.5,
2000-01-19,100186.59,71383.19,cash,13324.86,cash,10469.54,cash,5009.0,21.72,
2000-01-20,100185.83,71394.31,cash,13326.94,cash,10471.16,cash,4993.43,21.75,
2000-01-21,100208.95,71405.42,cash,13329.01,cash,10472.79,cash,5001.73,20.82,
2000-01-24,100199.55,71416.53,cash,13331.09,cash,10474.42,cash,4977.51,24.07,
2000-01-25,100182.37,71427.65,cash,13333.16,cash,10476.06,cash,4945.5,23.02,
2000-01-26,100198.92,71438.77,cash,13335.24,cash,10477.69,cash,4947.23,23.03,
2000-01-27,100230.18,71449.89,cash,13337.31,cash,10479.32,cash,4963.67,23.54,
2000-01-28,100173.21,71461.01,cash,13339.39,cash,10480.95,cash,4891.87,26.14,
2000-01-31,100196.35,71472.13,cash,13341.46,cash,10482.58,cash,4900.17,24.95,23.2
2000-02-01,100200.62,71392.95,cash,13326.68,cash,10470.97,cash,5010.03,23.45,23.16
2000-02-02,100255.5,71404.06,cash,13328.76,cash,10472.6,cash,5050.09,23.12,22.97
2000-02-03,100315.0,71415.17,cash,13330.83,cash,10474.23,cash,5094.77,22.01,22.75
2000-02-04,100822.63,71426.29,cash,13332.91,cash,10475.86,cash,5587.58,21.54,22.54
2000-02-07,100599.91,71437.4,cash,13334.98,cash,10477.49,cash,5350.04,22.79,22.59
2000-02-08,100565.1,71448.52,cash,13337.06,cash,10479.12,cash,5300.4,21.25,22.57
2000-02-09,100708.45,71459.64,cash,13339.13,cash,10480.75,cash,5428.92,22.9,22.59
2000-02-10,100912.96,71470.77,cash,13341.21,cash,10482.38,cash,5618.6,23.07,22.6
2000-02-11,100825.86,71481.89,cash,13343.29,cash,10484.01,cash,5516.67,24.42,22.74
2000-02-14,100783.97,71493.02,cash,13345.36,cash,10485.64,cash,5459.94,24.38,22.97
2000-02-15,100692.44,71504.15,cash,13347.44,cash,10487.27,cash,5353.58,22.92,23.04
2000-02-16,100716.15,71515.28,cash,13349.52,cash,10488.91,cash,5362.45,23.51,23.13
2000-02-17,100708.83,71526.41,cash,13351.6,cash,10490.54,cash,5340.29,23.17,23.21
2000-02-18,100786.6,71537.54,cash,13353.67,cash,10492.17,cash,5403.22,26,23.46
2000-02-22,100824.28,71559.81,cash,13357.83,cash,10495.44,cash,5411.2,25.86,23.55
2000-02-23,100747.83,71570.95,cash,13359.91,cash,10497.07,cash,5319.9,23.89,23.6
2000-02-24,100736.1,71582.09,cash,13361.99,cash,10498.71,cash,5293.31,24.38,23.66
2000-02-25,100644.59,71593.23,cash,13364.07,cash,10500.34,cash,5186.95,25.2,23.75
2000-02-28,100653.24,71604.37,cash,13366.15,cash,10501.97,cash,5180.74,24.68,23.67
2000-02-29,100665.8,71615.52,cash,13368.23,cash,10503.61,cash,5178.44,23.37,23.6
2000-03-01,100665.24,71723.98,cash,13388.48,cash,10519.52,cash,5033.26,21.64,23.51
2000-03-02,100627.41,71735.15,cash,13390.56,cash,10521.15,cash,4980.55,21.06,23.4
2000-03-03,100652.67,71746.31,cash,13392.64,cash,10522.79,cash,4990.92,19.21,23.26
2000-03-06,100652.01,71757.48,cash,13394.73,cash,10524.43,cash,4975.37,21.5,23.26
2000-03-07,100739.48,71768.65,cash,13396.81,cash,10526.07,cash,5047.95,24.31,23.34
2000-03-08,100693.89,71779.82,cash,13398.9,cash,10527.71,cash,4987.47,23.82,23.46
2000-03-09,100754.58,71790.99,cash,13400.99,cash,10529.35,cash,5033.26,22.21,23.43
2000-03-10,100730.6,71802.17,cash,13403.07,cash,10530.98,cash,4994.38,21.24,23.34
2000-03-13,100769.35,71813.34,cash,13405.16,cash,10532.62,cash,5018.23,22.85,23.26
2000-03-14,100758.33,71824.52,cash,13407.24,cash,10534.26,cash,4992.3,24.41,23.26
2000-03-15,100773.24,71835.7,cash,13409.33,cash,10535.9,cash,4992.3,22.34,23.23
2000-03-16,100747.01,71846.88,cash,13411.42,cash,10537.54,cash,4951.17,20.77,23.1
2000-03-17,100727.36,71858.06,cash,13413.51,cash,10539.18,cash,4916.61,22.37,23.06
2000-03-20,100766.12,71869.25,cash,13415.59,cash,10540.82,cash,4940.46,22.96,22.9
2000-03-21,100850.17,71880.43,cash,13417.68,cash,10542.46,cash,5009.59,21.7,22.7
2000-03-22,100832.59,71891.62,cash,13419.77,cash,10544.1,cash,4977.1,21.49,22.58
2000-03-23,100804.31,71902.81,cash,13421.86,cash,10545.75,cash,4933.89,22.26,22.47
2000-03-24,100808.86,71914.0,cash,13423.95,cash,10547.39,cash,4923.52,23.31,22.38
2000-03-27,100742.56,71925.2,cash,13426.04,cash,10549.03,cash,4842.3,24.53,22.37
