GLD_delta,GLD_pre,QQQ->TQQQ_delta,QQQ->TQQQ_pre,XLE->XLE_delta,XLE->XLE_pre,XLV->XLV_delta,XLV->XLV_pre,date,total_equity
120.41,4889.62,-90.31,71483.25,-16.86,13343.54,-13.25,10484.21,2000-02-01,100200.62
-129.75,5163.02,97.32,71626.67,18.17,13370.31,14.27,10505.24,2000-03-01,100665.24
232.22,4806.87,-174.16,71981.19,-32.51,13436.49,-25.54,10557.24,2000-04-03,100781.79
92.89,4957.02,-69.67,72030.89,-13.0,13445.77,-10.22,10564.53,2000-05-01,100998.21
31.58,5034.78,-23.69,72219.29,-4.42,13480.93,-3.47,10592.16,2000-06-01,101327.16
-249.9,5346.79,187.43,72443.22,34.99,13522.74,27.49,10625.01,2000-07-03,101937.76
193.29,4910.11,-144.96,72868.43,-27.06,13602.11,-21.26,10687.37,2000-08-01,102068.01
26.13,5094.2,-19.59,72984.25,-3.66,13623.73,-2.87,10704.36,2000-09-01,102406.54
76.54,5056.52,-57.41,73203.53,-10.72,13664.66,-8.42,10736.52,2000-10-02,102661.22
179.03,4962.21,-134.28,73397.0,-25.06,13700.77,-19.69,10764.89,2000-11-01,102824.88
-77.49,5240.45,58.12,73514.01,10.85,13722.62,8.52,10782.05,2000-12-01,103259.13
26.84,5152.42,-20.13,73824.48,-3.76,13780.57,-2.95,10827.59,2001-01-02,103585.05
20.54,5175.4,-15.4,74057.49,-2.88,13824.06,-2.26,10861.77,2001-02-01,103918.72
70.51,5137.91,-52.88,74272.92,-9.87,13864.28,-7.76,10893.36,2001-03-01,104168.48
205.09,5010.4,-153.82,74474.61,-28.71,13901.93,-22.56,10922.94,2001-04-02,104309.87
-154.4,5395.09,115.8,74564.09,21.62,13918.63,16.98,10936.07,2001-05-01,104813.88
-32.06,5293.23,24.04,74947.7,4.49,13990.24,3.53,10992.33,2001-06-01,105223.5
-27.63,5307.48,20.72,75217.18,3.87,14040.54,3.04,11031.85,2001-07-02,105597.05
50.72,5244.57,-38.04,75495.96,-7.1,14092.58,-5.58,11072.74,2001-08-01,105905.85
-67.66,5386.33,50.75,75740.3,9.47,14138.19,7.44,11108.58,2001-09-04,106373.4
-352.64,5705.62,264.48,76015.5,49.37,14189.56,38.79,11148.94,2001-10-01,107059.63
227.26,5132.96,-170.44,76553.53,-31.82,14289.99,-25.0,11227.85,2001-11-01,107204.34
61.12,5314.26,-45.84,76645.08,-8.56,14307.08,-6.72,11241.28,2001-12-03,107507.7
-6.4,5400.56,4.8,76861.96,0.9,14347.57,0.7,11273.09,2002-01-02,107883.18
-118.41,5537.31,88.81,77130.41,16.58,14397.68,13.03,11312.46,2002-02-01,108377.85
-197.96,5644.17,148.47,77459.96,27.71,14459.19,21.78,11360.79,2002-03-01,108924.11
-73.3,5541.19,54.97,77862.5,10.26,14534.33,8.06,11419.83,2002-04-01,109357.86
-74.65,5565.23,55.99,78184.72,10.45,14594.48,8.21,11467.09,2002-05-01,109811.53
-308.2,5834.68,231.15,78521.29,43.15,14657.31,33.9,11516.46,2002-06-03,110529.74
223.59,5308.36,-167.69,78997.96,-31.3,14746.29,-24.59,11586.37,2002-07-01,110638.97
197.79,5347.64,-148.34,79170.67,-27.69,14778.53,-21.76,11611.7,2002-08-01,110908.53
-139.52,5718.35,104.64,79393.76,19.53,14820.17,15.35,11644.42,2002-09-03,111576.7
-83.65,5688.05,62.74,79799.92,11.71,14895.99,9.2,11703.99,2002-10-01,112087.95
14.67,5603.52,-11.0,80070.22,-2.05,14946.44,-1.61,11743.63,2002-11-01,112363.82
27.84,5575.21,-20.88,79864.32,-3.9,14908.01,-3.06,11713.43,2002-12-02,112060.97
-432.14,6093.54,324.11,80350.73,60.5,14998.8,47.54,11784.77,2003-01-02,113227.84
-387.17,6082.86,290.38,80873.23,54.2,15096.34,42.59,11861.41,2003-02-03,113913.83
