sleeve,vehicle,entry_date,entry_price,exit_date,exit_price,pnl_pct,hold_days,exit_reason
XLV->XLV,XLV,2003-05-16,19.5497,2003-08-27,18.9095,-3.2747,103,wma_cross_below
XLV->XLV,GLD_DEF,2003-08-27,36.4487,2003-09-12,37.9497,4.1179,16,def_to_vehicle
XLV->XLV,XLV,2003-09-12,19.7014,2003-09-30,19.082,-3.1439,18,wma_cross_below
XLV->XLV,GLD_DEF,2003-09-30,38.2724,2003-12-23,40.9685,7.0444,84,def_to_vehicle
XLV->XLV,XLV,2003-12-23,20.2684,2004-03-31,20.5807,1.5407,99,wma_cross_below
QQQ->TQQQ,TQQQ,2003-04-30,0.1493,2004-05-11,0.2742,83.6685,377,wma_cross_below
XLV->XLV,GLD_DEF,2004-03-31,42.1077,2004-05-17,37.7608,-10.3232,47,def_to_vehicle
XLV->XLV,XLV,2004-05-17,21.1111,2004-05-26,20.8699,-1.1423,9,wma_cross_below
QQQ->TQQQ,TLT_DEF,2004-05-11,38.7572,2004-05-27,39.6746,2.3671,16,def_to_vehicle
XLV->XLV,GLD_DEF,2004-05-26,38.847,2004-06-03,39.0839,0.6096,8,def_to_vehicle
XLV->XLV,XLV,2004-06-03,21.4209,2004-06-29,20.935,-2.2684,26,wma_cross_below
QQQ->TQQQ,TQQQ,2004-05-27,0.3032,2004-07-13,0.2792,-7.8885,47,wma_cross_below
QQQ->TQQQ,TLT_DEF,2004-07-13,40.5552,2004-10-06,42.6292,5.114,85,def_to_vehicle
QQQ->TQQQ,TQQQ,2004-10-06,0.2982,2004-10-13,0.2731,-8.4132,7,wma_cross_below
QQQ->TQQQ,TLT_DEF,2004-10-13,42.8973,2004-10-20,43.5115,1.4318,7,def_to_vehicle
XLV->XLV,GLD_DEF,2004-06-29,40.1331,2004-12-13,43.61,8.6634,167,def_to_vehicle
QQQ->TQQQ,TQQQ,2004-10-20,0.2831,2005-03-21,0.2965,4.746,152,wma_cross_below
XLE->XLE,XLE,2003-05-19,6.2703,2005-04-22,11.5902,84.8446,704,vol_exit(30.9%)
QQQ->TQQQ,TLT_DEF,2005-03-21,44.0486,2005-05-20,46.6621,5.9333,60,def_to_vehicle
QQQ->TQQQ,TQQQ,2005-05-20,0.3196,2005-06-28,0.3065,-4.0811,39,wma_cross_below
QQQ->TQQQ,TLT_DEF,2005-06-28,48.376,2005-07-12,47.5499,-1.7078,14,def_to_vehicle
XLV->XLV,XLV,2004-12-13,20.5057,2005-10-07,21.7113,5.8792,298,wma_cross_below
XLV->XLV,GLD_DEF,2005-10-07,46.99,2005-12-16,50.32,7.0866,70,def_to_vehicle
XLV->XLV,XLV,2005-12-16,22.3951,2006-04-13,21.8329,-2.5102,118,wma_cross_below
QQQ->TQQQ,TQQQ,2005-07-12,0.3352,2006-05-16,0.365,8.8885,308,wma_cross_below
XLV->XLV,GLD_DEF,2006-04-13,59.13,2006-08-17,62.32,5.3949,126,def_to_vehicle
QQQ->TQQQ,TLT_DEF,2006-05-16,43.5275,2006-09-21,47.0275,8.0409,128,def_to_vehicle
XLV->XLV,XLV,2006-08-17,22.7844,2007-03-14,23.6847,3.9513,209,wma_cross_below
XLV->XLV,GLD_DEF,2007-03-14,63.34,2007-03-28,66.14,4.4206,14,def_to_vehicle
XLV->XLV,XLV,2007-03-28,24.1387,2007-07-30,24.2544,0.4793,124,wma_cross_below
XLV->XLV,GLD_DEF,2007-07-30,65.37,2007-10-03,72.25,10.5247,65,def_to_vehicle
QQQ->TQQQ,TQQQ,2006-09-21,0.3622,2007-11-14,0.6431,77.5253,419,vol_exit(31.8%)
XLV->XLV,XLV,2007-10-03,25.8131,2007-11-27,25.5891,-0.8677,55,wma_cross_below
QQQ->TQQQ,TLT_DEF,2007-11-14,51.1083,2008-05-05,52.8223,3.3536,173,def_to_vehicle
QQQ->TQQQ,TQQQ,2008-05-05,0.5406,2008-06-13,0.5244,-2.9953,39,wma_cross_below
QQQ->TQQQ,TLT_DEF,2008-06-13,51.3464,2008-06-18,51.531,0.3595,5,def_to_vehicle
QQQ->TQQQ,TQQQ,2008-06-18,0.5128,2008-06-23,0.4818,-6.0442,5,wma_cross_below
QQQ->TQQQ,TLT_DEF,2008-06-23,51.987,2008-08-13,53.6548,3.2081,51,def_to_vehicle
QQQ->TQQQ,TQQQ,2008-08-13,0.4878,2008-08-27,0.4571,-6.2978,14,wma_cross_below
QQQ->TQQQ,TLT_DEF,2008-08-27,54.3465,2009-05-07,57.3996,5.6178,253,def_to_vehicle
QQQ->TQQQ,TQQQ,2009-05-07,0.1112,2009-05-15,0.1029,-7.482,8,wma_cross_below
QQQ->TQQQ,TLT_DEF,2009-05-15,58.6321,2009-05-19,57.5491,-1.8471,4,def_to_vehicle
XLV->XLV,GLD_DEF,2007-11-27,80.7,2009-08-21,93.63,16.0223,633,def_to_vehicle
XLV->XLV,XLV,2009-08-21,21.3275,2010-05-03,23.4083,9.7562,255,wma_cross_below
QQQ->TQQQ,TQQQ,2009-05-19,0.1125,2010-05-11,0.2556,127.2417,357,vol_exit(30.6%)
QQQ->TQQQ,TLT_DEF,2010-05-11,58.5197,2010-06-28,62.2287,6.3381,48,def_to_vehicle
QQQ->TQQQ,TQQQ,2010-06-28,0.2195,2010-06-30,0.1902,-13.3576,2,stop_loss(12%)
QQQ->TQQQ,TLT_DEF,2010-06-30,63.3595,2010-08-12,63.8656,0.7988,43,def_to_vehicle
QQQ->TQQQ,TQQQ,2010-08-12,0.2039,2010-08-16,0.2036,-0.1614,4,wma_cross_below
QQQ->TQQQ,TLT_DEF,2010-08-16,65.5191,2010-09-10,64.4781,-1.5889,25,def_to_vehicle
XLV->XLV,GLD_DEF,2010-05-03,115.91,2010-10-01,128.72,11.0517,151,def_to_vehicle
XLE->XLE,GLD_DEF,2005-04-22,43.46,2010-11-04,134.64,209.8021,2022,def_to_vehicle
QQQ->TQQQ,TQQQ,2010-09-10,0.2303,2011-06-17,0.3575,55.2106,280,wma_cross_below
QQQ->TQQQ,TLT_DEF,2011-06-17,63.1052,2011-06-24,63.431,0.5162,7,def_to_vehicle
QQQ->TQQQ,TQQQ,2011-06-24,0.3691,2011-06-27,0.3566,-3.3797,3,wma_cross_below
XLE->XLE,XLE,2010-11-04,18.1787,2011-08-05,20.9821,15.4213,274,vol_exit(32.3%)
XLV->XLV,XLV,2010-10-01,23.5181,2011-08-05,24.7189,5.106,308,wma_cross_below
QQQ->TQQQ,TLT_DEF,2011-06-27,63.0987,2011-11-08,77.2028,22.3524,134,def_to_vehicle
QQQ->TQQQ,TQQQ,2011-11-08,0.3989,2011-11-18,0.3418,-14.3176,10,stop_loss(12%)
QQQ->TQQQ,TLT_DEF,2011-11-18,78.8097,2012-01-04,79.3119,0.6372,47,def_to_vehicle
XLV->XLV,GLD_DEF,2011-08-05,161.64,2012-01-12,161.02,-0.3836,160,def_to_vehicle
XLE->XLE,GLD_DEF,2011-08-05,161.64,2012-02-27,172.14,6.4959,206,def_to_vehicle
XLE->XLE,XLE,2012-02-27,23.0878,2012-04-24,21.1042,-8.5912,57,wma_cross_below
XLE->XLE,GLD_DEF,2012-04-24,159.63,2012-09-04,164.11,2.8065,133,def_to_vehicle
QQQ->TQQQ,TQQQ,2012-01-04,0.3555,2012-11-01,0.5178,45.658,302,wma_cross_below
QQQ->TQQQ,TLT_DEF,2012-11-01,83.497,2012-12-03,84.3086,0.972,32,def_to_vehicle
QQQ->TQQQ,TQQQ,2012-12-03,0.5367,2012-12-06,0.4983,-7.1629,3,wma_cross_below
QQQ->TQQQ,TLT_DEF,2012-12-06,85.767,2012-12-19,82.4347,-3.8853,13,def_to_vehicle
QQQ->TQQQ,TQQQ,2012-12-19,0.5452,2012-12-26,0.5139,-5.7354,7,wma_cross_below
QQQ->TQQQ,TLT_DEF,2012-12-26,83.2855,2013-01-04,80.3556,-3.5178,9,def_to_vehicle
XLE->XLE,XLE,2012-09-04,21.9178,2014-02-07,26.3871,20.391,521,wma_cross_below
XLE->XLE,GLD_DEF,2014-02-07,121.24,2014-03-10,128.88,6.3016,31,def_to_vehicle
QQQ->TQQQ,TQQQ,2013-01-04,0.5549,2014-08-19,1.6967,205.7621,592,take_profit(200%)
XLE->XLE,XLE,2014-03-10,27.7371,2014-09-30,29.3475,5.8058,204,wma_cross_below
XLV->XLV,XLV,2012-01-12,27.9377,2015-08-25,58.9752,111.0951,1321,wma_cross_below
QQQ->TQQQ,TLT_DEF,2014-08-19,83.876,2015-10-19,91.4305,9.0068,426,def_to_vehicle
QQQ->TQQQ,TQQQ,2015-10-19,2.0652,2016-01-08,1.9021,-7.8982,81,wma_cross_below
QQQ->TQQQ,TLT_DEF,2016-01-08,91.0057,2016-03-30,97.0221,6.611,82,def_to_vehicle
