date,total_equity,eq_target,gld_target,QQQ->TQQQ_pre,QQQ->TQQQ_delta,SPY->SPXL_pre,SPY->SPXL_delta,GLD_pre,GLD_delta
2001-01-02,99302.77,44686.25,9930.28,45000.0,-313.75,45000.0,-313.75,9302.77,627.51
2002-01-02,99672.13,44852.46,9967.21,44686.25,166.21,44686.25,166.21,10299.64,-332.43
2003-01-02,92962.07,41832.93,9296.21,44852.46,-3019.52,35755.78,6077.16,12353.84,-3057.63
2004-01-02,118438.03,53297.11,11843.8,39569.36,13727.76,67703.11,-14406.0,11165.56,678.24
2005-01-03,253180.14,113931.06,25318.01,64309.79,49621.27,61768.1,52162.97,127102.25,-101784.24
2006-01-03,261410.1,117634.54,26141.01,107688.62,9945.93,122459.44,-4824.9,31262.04,-5121.03
2007-01-03,273335.42,123000.94,27333.54,123338.02,-337.08,119348.64,3652.3,30648.76,-3315.22
2008-01-02,324791.94,146156.37,32479.19,173919.54,-27763.17,113628.91,32527.46,37243.49,-4764.29
2009-01-02,274945.21,123725.34,27494.52,121705.06,2020.28,120236.6,3488.74,33003.55,-5509.02
2010-01-04,402987.05,181344.17,40298.71,192261.83,-10917.66,175715.38,5628.79,35009.84,5288.87
2011-01-03,523487.64,235569.44,52348.76,253739.39,-18169.95,219099.61,16469.83,50648.65,1700.12
2012-01-03,522044.05,234919.82,52204.41,232603.72,2316.1,230293.81,4626.01,59146.52,-6942.11
2013-01-02,695100.43,312795.19,69510.04,307264.92,5530.28,333203.7,-20408.5,54631.82,14878.23
2014-01-02,1348867.73,606990.48,134886.77,681433.53,-74443.05,617166.47,-10175.99,50267.73,84619.05
2015-01-02,1885991.43,848696.14,188599.14,899839.6,-51143.45,855746.05,-7049.9,130405.79,58193.35
2016-01-04,1717900.47,773055.21,171790.05,843593.7,-70538.49,704207.14,68848.07,170099.63,1690.42
2017-01-03,2015742.64,907084.19,201574.26,751854.6,155229.59,1079442.06,-172357.87,184445.98,17128.29
2018-01-02,3807451.8,1713353.31,380745.18,2030379.12,-317025.81,1548711.87,164641.44,228360.81,152384.37
2019-01-02,3880582.4,1746262.08,388058.24,1907500.93,-161238.85,1603957.91,142304.17,369123.55,18934.69
2020-01-02,6222338.85,2800052.48,622233.88,3486807.95,-686755.47,2275125.52,524926.96,460405.37,161828.51
2021-01-04,8578025.63,3860111.53,857802.56,3683998.62,176112.92,4105892.91,-245781.37,788134.1,69668.46
2022-01-03,13976590.3,6289465.64,1397659.03,5037012.33,1252453.3,8147640.79,-1858175.16,791937.18,605721.85
2023-01-03,10785427.27,4853442.27,1078542.73,4171539.36,681902.91,5193561.45,-340119.18,1420326.46,-341783.74
2024-01-02,17249384.81,7762223.17,1724938.48,10404467.55,-2642244.38,5642417.16,2119806.01,1202500.11,522438.37
2025-01-02,28745550.75,12935497.84,2874555.07,13700281.03,-764783.2,12825605.27,109892.56,2219664.44,654890.63
2026-01-02,40324945.51,18146225.48,4032494.55,18689756.18,-543530.7,16970215.83,1176009.64,4664973.5,-632478.94
