sleeve,vehicle,entry_date,entry_price,exit_date,exit_price,pnl_pct,hold_days,exit_reason
SPY->SPXL,SPXL,2002-03-22,7.6712,2002-03-27,7.5731,-1.28,5,wma_cross_below
SPY->SPXL,SPY_DEF,2002-03-27,73.7273,2002-07-11,59.5365,-19.2477,106,def_stop(18%)
QQQ->TQQQ,TQQQ,2003-09-04,0.2724,2003-09-26,0.233,-14.4705,22,stop_loss(12%)
QQQ->TQQQ,QQQ_DEF,2003-09-26,27.8166,2004-06-01,30.6784,10.2883,249,def_to_vehicle
QQQ->TQQQ,TQQQ,2004-06-01,0.3052,2004-07-14,0.2708,-11.2692,43,wma_cross_below
SPY->SPXL,SPXL,2003-05-16,3.5764,2004-07-20,5.8502,63.577,431,wma_cross_below
SPY->SPXL,SPY_DEF,2004-07-20,74.0959,2004-09-07,75.4433,1.8184,49,def_to_vehicle
SPY->SPXL,SPXL,2004-09-07,6.007,2004-09-24,5.8517,-2.5846,17,wma_cross_below
SPY->SPXL,SPY_DEF,2004-09-24,74.8351,2004-10-05,76.6391,2.4107,11,def_to_vehicle
QQQ->TQQQ,QQQ_DEF,2004-07-14,29.7816,2004-10-07,30.9153,3.8069,85,def_to_vehicle
SPY->SPXL,SPXL,2004-10-05,6.2377,2004-10-14,5.7105,-8.4514,9,wma_cross_below
SPY->SPXL,SPY_DEF,2004-10-14,75.2255,2004-11-01,76.444,1.6197,18,def_to_vehicle
QQQ->TQQQ,TQQQ,2004-10-07,0.2882,2005-03-23,0.2886,0.1474,167,wma_cross_below
SPY->SPXL,SPXL,2004-11-01,6.154,2005-04-19,6.6046,7.3221,169,wma_cross_below
SPY->SPXL,SPY_DEF,2005-04-19,78.384,2005-05-04,79.4395,1.3466,15,def_to_vehicle
QQQ->TQQQ,QQQ_DEF,2005-03-23,30.8267,2005-05-25,32.313,4.8214,63,def_to_vehicle
QQQ->TQQQ,TQQQ,2005-05-25,0.3234,2005-06-28,0.3065,-5.2038,34,wma_cross_below
QQQ->TQQQ,QQQ_DEF,2005-06-28,31.5903,2005-07-14,33.0437,4.6008,16,def_to_vehicle
SPY->SPXL,SPXL,2005-05-04,6.9457,2005-10-10,7.2422,4.2685,159,wma_cross_below
SPY->SPXL,SPY_DEF,2005-10-10,82.1803,2005-11-03,83.8764,2.0639,24,def_to_vehicle
QQQ->TQQQ,TQQQ,2005-07-14,0.3476,2006-05-18,0.343,-1.336,308,wma_cross_below
SPY->SPXL,SPXL,2005-11-03,7.8972,2006-06-12,8.3172,5.3179,221,wma_cross_below
SPY->SPXL,SPY_DEF,2006-06-12,87.2415,2006-07-05,88.6085,1.567,23,def_to_vehicle
SPY->SPXL,SPXL,2006-07-05,9.0335,2006-07-14,8.2854,-8.2823,9,wma_cross_below
SPY->SPXL,SPY_DEF,2006-07-14,86.4297,2006-07-31,88.8661,2.819,17,def_to_vehicle
SPY->SPXL,SPXL,2006-07-31,9.1671,2006-08-15,9.3284,1.759,15,wma_cross_below
QQQ->TQQQ,QQQ_DEF,2006-05-18,33.8671,2006-09-21,34.794,2.7366,126,def_to_vehicle
SPY->SPXL,SPY_DEF,2006-08-15,89.2489,2007-09-27,108.9127,22.0325,408,def_to_vehicle
SPY->SPXL,SPXL,2007-09-27,15.9855,2007-11-09,13.4759,-15.6991,43,stop_loss(12%)
QQQ->TQQQ,TQQQ,2006-09-21,0.3622,2007-11-14,0.6431,77.5253,419,vol_exit(31.8%)
QQQ->TQQQ,QQQ_DEF,2007-11-14,44.2672,2008-03-10,36.2252,-18.1669,117,def_stop(18%)
SPY->SPXL,SPY_DEF,2007-11-09,103.7701,2008-09-18,85.3727,-17.7291,314,def_stop(18%)
QQQ->TQQQ,TQQQ,2009-08-05,0.1691,2010-05-11,0.2556,51.1374,279,vol_exit(30.6%)
SPY->SPXL,SPXL,2009-08-05,2.8713,2010-05-21,3.2547,13.3504,289,vol_exit(30.1%)
QQQ->TQQQ,QQQ_DEF,2010-05-11,41.218,2010-09-27,43.44,5.3908,139,def_to_vehicle
SPY->SPXL,SPY_DEF,2010-05-21,79.7869,2010-09-29,87.0413,9.0922,131,def_to_vehicle
QQQ->TQQQ,TQQQ,2010-09-27,0.2814,2011-06-15,0.3629,28.9715,261,wma_cross_below
SPY->SPXL,SPXL,2010-09-29,4.0195,2011-08-03,5.3128,32.1761,308,wma_cross_below
SPY->SPXL,SPY_DEF,2011-08-03,97.0243,2012-01-13,100.4723,3.5537,163,def_to_vehicle
QQQ->TQQQ,QQQ_DEF,2011-06-15,48.1352,2012-01-17,51.9051,7.832,216,def_to_vehicle
